Speed Boost,速度提升,buff_speed,BuffStrings,速度提升,
James the Fearless Leader ,无畏领袖，詹姆斯,james,CharacterNamesStrings,无畏领导者詹姆士,
James,詹姆斯,james1,CharacterNamesStrings,无畏,
the Fearless,无畏,james2,CharacterNamesStrings,领导者,
Leader,领袖,james3,CharacterNamesStrings,詹姆士,
Lisa the Fastest Racer ,神速车手，丽莎,lisa,CharacterNamesStrings,最速车手丽莎,
Lisa,丽莎,lisa1,CharacterNamesStrings,最速,
the Fastest,神速,lisa2,CharacterNamesStrings,车手,
Racer,车手,lisa3,CharacterNamesStrings,丽莎,
Randall the Biker Prince,机车王子，兰德尔,randall,CharacterNamesStrings,摩托车王子兰德尔,
Randall,兰德尔,randall1,CharacterNamesStrings,摩托车,
the Biker,机车,randall2,CharacterNamesStrings,王子,
Prince,王子,randall3,CharacterNamesStrings,兰德尔,
Toshi the Teenage Genius,少年天才，小敏,toshi,CharacterNamesStrings,天才少年小敏,
Toshi,小敏,toshi1,CharacterNamesStrings,天才,
the Teenage,少年,toshi2,CharacterNamesStrings,少年,
Genius,天才,toshi3,CharacterNamesStrings,小敏,
2D Artists,2D 美术,2d_artists,CreditsStrings,2D Artists,
2D Cutscenes Artists,2D 过场美术,2d_cutscenes_artists,CreditsStrings,2D Cutscenes Artists,
2D Cutscenes Music,2D 过场配乐,2d_cutscenes_music,CreditsStrings,2D Cutscenes Music,
2D Cutscenes Sound Design,2D 过场声音设计,2d_cutscenes_sound_design,CreditsStrings,2D Cutscenes Sound Design,
3D Artists,3D 美术,3d_artists,CreditsStrings,3D Artists,
3D Character Artist,3D 角色美术,3d_char_artist,CreditsStrings,3D Character Artist,
3D Outsource,3D 外包,3d_outsource,CreditsStrings,3D Outsource,
Lead,领导,Lead,CreditsStrings,Lead,
Additional Art,额外美术,additional_art,CreditsStrings,Additional Art,
Additional Music Composer ,额外编曲,additional_composer,CreditsStrings,Additional Music Composer ,
Additional programming,额外程序,additional_programming,CreditsStrings,Additional programming,
Animation and Rigging,动画与绑定,anim_rig,CreditsStrings,Animation and Rigging,
Art Director,美术指导,art_director,CreditsStrings,Art Director,
Business Development Director,商业拓展总监,business_dev_dir,CreditsStrings,Business Development Director,
Business Development Manager,商业拓展经理,business_dev_manager,CreditsStrings,Business Development Manager,
Casting,演员,casting,CreditsStrings,Casting,
CEO,执行总监,ceo,CreditsStrings,CEO,
CFO,财务总监,cfo,CreditsStrings,CFO,
Characters,角色,characters,CreditsStrings,Characters,
Compliance Managers,合规经理,compliance_manager,CreditsStrings,Compliance Managers,
Composer | Music Director ,编曲，音乐指导,composer,CreditsStrings,Composer | Music Director ,
Development team,开发团队,dev_team,CreditsStrings,Development team,
Dialogue Editors,对话编辑,dialogue_editors,CreditsStrings,Dialogue Editors,
Director of Quality Assurance,QA 总监,director_of_QA,CreditsStrings,Director of Quality Assurance,
"Disclaimer, and some totally worthless information: No robot was harmed, during development of this game. We changed the office once during development of this game, we used around 600 kg of coffe beans. Game won ""Best Gameplay"" award before we revealed any gameplay to the public - this is an awesome achievement. We created 3 meter robot from the game in real life. During development time we assembled around 15 gunpla models. ",免责声明，及毫无意义的信息：在游戏开发过程中，没有机器人受到伤害。在游戏开发过程中，我们曾搬过一次办公室，我们大概消耗了600千克的咖啡豆。游戏在向公众发布前曾获得『Best Gameplay』奖项——这是相当了不起的成就。我们为游戏中的机器人打造了3米高的实物。在游戏开发过程中，我们大概组装了15个钢普拉模型。,disclaimer,CreditsStrings,"Disclaimer, and some totally worthless information: No robot was harmed, during development of this game. We changed the office once during development of this game, we used around 600 kg of coffe beans. Game won """"Best Gameplay"""" award before we revealed any gameplay to the public - this is an awesome achievement. We created 3 meter robot from the game in real life. During development time we assembled around 15 gunpla models. ",
Environmental Artists,环境设计师,env_artists,CreditsStrings,Environmental Artists,
Executive Producer,监制,executive_producer,CreditsStrings,Executive Producer,
Game Design,游戏设计,game_design,CreditsStrings,Game Design,
Game Designer,游戏设计师,game_designer,CreditsStrings,Game Designer,
General Manager,总经理,general_manager,CreditsStrings,General Manager,
Head of PR and Marketing,公关与营销经理,head_of_PR,CreditsStrings,Head of PR and Marketing,
Head of Studio,工作室经理,hos,CreditsStrings,Head of Studio,
Hungarian Translation,匈牙利语翻译,hu_translation,CreditsStrings,Hungarian Translation,
Hype Guy,宣传人员,hype_guy,CreditsStrings,Hype Guy,
IT Manager,IT 经理,it_manager,CreditsStrings,IT Manager,
IT Support,IT 支持,it_support,CreditsStrings,IT Support,
Lead 3D Artist,首席 3D 设计师,lead_3d_artist,CreditsStrings,Lead 3D Artist,
Level Designers,关卡设计师,lead_designers,CreditsStrings,Level Designers,
Lead Game Designer,首席游戏设计师,lead_game_designer,CreditsStrings,Lead Game Designer,
Lead Narrative Designer,首席文案策划,lead_narrative_designer,CreditsStrings,Lead Narrative Designer,
Lead Programmer,首席程序员,lead_programmer,CreditsStrings,Lead Programmer,
Lead Technical Artist,技术美工主管,lead_technical_artist,CreditsStrings,Lead Technical Artist,
Legal Notices,法律声明,legal_notes,CreditsStrings,Legal Notices,
Level Design,关卡设计,level_design,CreditsStrings,Level Design,
Localization,本地化,localization,CreditsStrings,Localization,
Localization Manager,本地化经理,localization_manager,CreditsStrings,Localization Manager,
Marketing Manager/Sales Overlord,营销经理/销售霸主,marketing_manager_sales_overlord,CreditsStrings,Marketing Manager/Sales Overlord,
Outsource Development ,外包开发,outsource_dev,CreditsStrings,Outsource Development ,
Outsource Partners,外包合作伙伴,outsource_partners,CreditsStrings,Outsource Partners,
Polish and Russian Translation,波兰语和俄语翻译,pol_and_rus_translation,CreditsStrings,Polish and Russian Translation,
Producers,制作者,producers,CreditsStrings,Producers,
Programmers,程序员,programmers,CreditsStrings,Programmers,
Programming,程序设计,programming,CreditsStrings,Programming,
Project Management,项目经理,project_management,CreditsStrings,Project Management,
QA,QA,qa,CreditsStrings,QA,
QA Compliance Engineer,QA 合规工程师,qa_compilance_engineer,CreditsStrings,QA Compliance Engineer,
QA Lab Managers,QA 实验室经理,qa_lab_managers,CreditsStrings,QA Lab Managers,
QA Project Manager,QA 项目经理,qa_project_manager,CreditsStrings,QA Project Manager,
Quality Assurance Team,QA 团队,qa_team,CreditsStrings,Quality Assurance Team,
QA Team Leader,QA 团队领导,qa_team_leader,CreditsStrings,QA Team Leader,
QA Tester,QA 测试人员,qa_tester,CreditsStrings,QA Tester,
QA Training Manager,QA 培训经理,qa_training_manager,CreditsStrings,QA Training Manager,
Recorded at OMUK London,录制于伦敦，OMUK,recorded_at,CreditsStrings,Recorded at OMUK London,
Recording Engineers,录音工程师,recording_engineers,CreditsStrings,Recording Engineers,
Senior Physics Programmer,高级物理程序员,senior_phys_programmer,CreditsStrings,Senior Physics Programmer,
Sound Designer,声音设计师,sound_designer,CreditsStrings,Sound Designer,
Soundtrack Mastering,声轨控制,soundtrack_mastering,CreditsStrings,Soundtrack Mastering,
Special Thanks,特别鸣谢,special_thanks,CreditsStrings,Special Thanks,
Studio Head,工作室负责人,studio_head,CreditsStrings,Studio Head,
Technical Artist,技术美术,tech_artist,CreditsStrings,Technical Artist,
Thank you for playing this game!,感谢您的游玩！,thank_you,CreditsStrings,Thank you for playing this game!,
Translation,翻译,translation,CreditsStrings,Translation,
UI Artists,UI美术,ui_artists,CreditsStrings,UI Artists,
UI Designer,UI设计师,ui_designer,CreditsStrings,UI Designer,
VFX Artists,视效美术,vfx_artists,CreditsStrings,VFX Artists,
Vocalist,歌手,vocalist,CreditsStrings,Vocalist,
Voice Actors,配音演员,voice_actors,CreditsStrings,Voice Actors,
Voice Director,配音指导,voice_director,CreditsStrings,Voice Director,
Drone,工兵机,00_Collector,EnemyNamesStrings,无人机,
Drones,工兵机,00_Collectors,EnemyNamesStrings,无人机,
Charging Goon,冲锋杀手机,01_Lobber_Charge,EnemyNamesStrings,冲锋暴徒,
Charging Goons,冲锋杀手机,01_Lobbers_Charge,EnemyNamesStrings,冲锋暴徒,
Gunner Goon,枪械杀手机,02_Lobber_Gun,EnemyNamesStrings,枪手暴徒,
Gunner Goons,枪械杀手机,02_Lobbers_Gun,EnemyNamesStrings,枪手暴徒,
Mega Goon,超级杀手机,03_Lobber_Mega,EnemyNamesStrings,巨型暴徒,
Mega Goons,超级杀手机,03_Lobbers_Mega,EnemyNamesStrings,巨型暴徒,
Carrier,运输机,04_Chaser,EnemyNamesStrings,运输机,
Carriers,运输机,04_Chasers,EnemyNamesStrings,运输机,
Screamer,尖啸机,04_Screamer,EnemyNamesStrings,咆哮者,
Screamers,尖啸机,04_Screamers,EnemyNamesStrings,咆哮者,
Miner,地雷机,05_Dropper,EnemyNamesStrings,爆雷兵,
Miners,地雷机,05_Droppers,EnemyNamesStrings,爆雷兵,
Hanger,锤挂机,06_Hanger,EnemyNamesStrings,倒挂爆雷兵,
Hangers,锤挂机,06_Hangers,EnemyNamesStrings,倒挂爆雷兵,
Spinner,速旋机,07_Spinner,EnemyNamesStrings,疾驰者,
Spinners,速旋机,07_Spinners,EnemyNamesStrings,疾驰者,
Chaser,追猎机,08_Flyer,EnemyNamesStrings,追击者,
Chasers,追猎机,08_Flyers,EnemyNamesStrings,追击者,
Floater,悬浮机,09_Floater,EnemyNamesStrings,盘旋者,
Floaters,悬浮机,09_Floaters,EnemyNamesStrings,盘旋者,
Instigator,策动者,10_Boss_Lobber_Fire,EnemyNamesStrings,煽动者,
Devastator,毁灭者,11_Boss_Lobber_Fire,EnemyNamesStrings,破坏者,
Goon,杀手机,12_Lobber,EnemyNamesStrings,暴徒,
Goons,杀手机,13_Lobbers,EnemyNamesStrings,暴徒,
Hatcher,孵化机,14_Spawner,EnemyNamesStrings,阴谋者,
Hatchers,孵化机,15_Spawners,EnemyNamesStrings,阴谋者,
Buffed Drone,增益工兵机,16_BuffedDrone,EnemyNamesStrings,强化无人机,
Junkbot,废品机器人,98_JunkBot,EnemyNamesStrings,拾荒机器人,
Junkbots,废品机器人,98_Junkbots,EnemyNamesStrings,拾荒机器人,
Killdozer,杀人推土机,99_Boss_MainBoss,EnemyNamesStrings,推土机杀手,
Finish the level in under {Time}.,在 {Time}内完成关卡,ExtraGoals_00,ExtragoalsStrings,在{Time}以内完成关卡,
Perform a wheelie for {Time}.,表演 {Time}的后轮滑,ExtraGoals_01,ExtragoalsStrings,翘孤轮行驶{Time},
Perform a double flip during one jump.,在单次跳跃中完成两次空翻,ExtraGoals_02,ExtragoalsStrings,在单次跳跃中空翻两次,
Collect {Value} of Junk.,收集{Value}件废品,ExtraGoals_03,ExtragoalsStrings,收集{Value}个垃圾,
Outrun the train in {Time}.,在 {Time}内超越列车,ExtraGoals_04,ExtragoalsStrings,在{Time}内超越火车,
Avoid being damaged by {Enemy}.,避免受到{Enemy}的伤害,ExtraGoals_05,ExtragoalsStrings,不要被{Enemy}损坏,
Use the wheelsaw to cut through {Value} objects without dashing.,在没有冲刺的情况下用轮锯切开{Value}件物品,ExtraGoals_06,ExtragoalsStrings,没有使用急冲并使用轮盘锯锯穿{Value}个物体,
Destroy {Value} {Enemy}.,消灭{Value}架{Enemy},ExtraGoals_07,ExtragoalsStrings,摧毁{Value}个{Enemy},
Use dash to destroy {Value} {Enemy}.,利用冲刺消灭{Value}架{Enemy},ExtraGoals_08,ExtragoalsStrings,使用急冲摧毁{Value}个{Enemy},
Score {Value} points.,获得{Value}分,ExtraGoals_09,ExtragoalsStrings,得到{Value}分,
Use guns to destroy {Value} {Enemy}.,用枪消灭{Value}架{Enemy},ExtraGoals_10,ExtragoalsStrings,使用枪摧毁{Value}个{Enemy},
Use character abilities to destroy {Value} {Enemy}.,利用角色能力消灭{Value}架{Enemy},ExtraGoals_11,ExtragoalsStrings,用角色能力摧毁{Value}个{Enemy},
Destroy {Value} {Enemy} while on low health.,在濒死情况下消灭{Value}架{Enemy},ExtraGoals_12,ExtragoalsStrings,在生命值低的状态下摧毁{Value}个{Enemy},
Lower the bridge in under {Time}.,在 {Time}内降下桥梁,ExtraGoals_13,ExtragoalsStrings,在{Time}内把桥放下,
Finish the level without using Repair Stations.,在不使用修理站的情况下完成关卡,ExtraGoals_14,ExtragoalsStrings,没有使用维修站完成关卡,
Perform a double spin during one jump.,在单次跳跃中完成两次旋转,ExtraGoals_15,ExtragoalsStrings,在单次跳跃中旋转两次,
Don't lose any of the characters.,不损失任何角色,ExtraGoals_16,ExtragoalsStrings,不失去任何一位角色,
Destroy {Value} {Enemy} in mid-air.,在空中消灭{Value}架{Enemy}敌人,ExtraGoals_17,ExtragoalsStrings,在半空中摧毁{Value}个{Enemy},
Destroy {Value} {Enemy} while vertical driving.,在垂直行驶时消灭{Value}架敌人,ExtraGoals_18,ExtragoalsStrings,在垂直行驶时摧毁{Value}个{Enemy},
Complete the race in under {Time}.,在 {Time}内完成比赛,ExtraGoals_19,ExtragoalsStrings,在{Time}内完成竞赛,
Avoid being hit by the Killdozer.,避免被杀人推土机击中,ExtraGoals_20,ExtragoalsStrings,不被推土机杀手击中,
Steel Rats hideout in an old mine cave. Home sweet home!,钢鼠们就藏在一座老旧的矿场里。美好甜蜜的家啊！,Desc,Level00_Strings,钢铁鼠的藏身处在一个旧矿坑里。最完美舒适的家园！,
Rats Nest,鼠窝,Name,Level00_Strings,鼠巢,
Find the Gang,找到鼠帮成员,Objective1_Description,Level00_Strings,寻找伙伴,
Look around the Rats Nest,在鼠窝周围看看,Objective1_Task1,Level00_Strings,查看鼠巢附近,
Power up the radio,给无线电加电,Objective1_Task2,Level00_Strings,前往无线电台,
Roll Out!,出发！,Objective2_Description,Level00_Strings,出发！,
Exit the Rats Nest,离开鼠窝,Objective2_Task1,Level00_Strings,离开鼠巢,
"Hey, Gang! You home?!",嘿，伙计们！你们在家吗？！,vo_dlg_ratsnest_01_toshi,Level00_Strings,嘿！伙伴们！有人在家吗？！,
Anyone?!,有人吗？！,vo_dlg_ratsnest_02_toshi,Level00_Strings,有人吗？！,
Maybe I can reach them using my wide-bandwidth radio...,也许我能用宽频无线电联络到他们……,vo_dlg_ratsnest_03_toshi,Level00_Strings,或许我可以用宽频无线电联系到他们…,
"Nest to Steel Rats! Nest to Steel Rats! Come in! We got yellow alert! I repeat! Yellow alert! Nest to Steel Rats! Steel Rats, Assemble!",鼠窝呼叫钢鼠！鼠窝呼叫钢鼠！请回答！我们收到了黄色警报！重复！黄色警报！鼠窝呼叫钢鼠！钢鼠，快集合！,vo_dlg_ratsnest_04_toshi,Level00_Strings,鼠巢呼叫钢铁鼠！鼠巢呼叫钢铁鼠！请回答！目前是黄色警戒！重复！黄色警戒！钢铁鼠，快集合！,
[static],[杂音],vo_dlg_ratsnest_05_radio,Level00_Strings,[杂音],
No use... I need to find them myself.,没用……看来我得亲自去找他们。,vo_dlg_ratsnest_06_toshi,Level00_Strings,没有用…看来我得亲自出马找人了。,
Olbarrow's outskirts and wilderness.,欧巴罗郊区与荒野。,Desc,Level01_Strings,欧巴罗的郊区和野外。,
Roll Out,出发,Name,Level01_Strings,出发,
Through the Olbarrow,穿过欧巴罗,Objective1_Description,Level01_Strings,穿过欧巴罗,
Search for the others,寻找其他人,Objective1_Task1,Level01_Strings,寻找其他人,
Escape!,逃离！,Objective2_Description,Level01_Strings,脱逃！,
Run from the huge robot,摆脱巨型机器人,Objective2_Task1,Level01_Strings,躲开大型机器人,
Outrun the train,超越列车,Objective2_Task2,Level01_Strings,超越火车,
"Sheesh, it's like a ghost town around here!",嘘，这周围就像鬼城一样！,vo_dlg_RollOut_01_Toshi,Level01_Strings,呃，这里活像个鬼城！,
What the?,什么鬼？,vo_dlg_RollOut_02_Toshi,Level01_Strings,搞什么？,
"Oh, come on!",哦，饶了我吧！,vo_dlg_RollOut_03_Toshi,Level01_Strings,喔，拜托！,
GERONIMO!!!,呜呼！！！,vo_dlg_RollOut_04_Toshi,Level01_Strings,呜呼！！！,
"Looks like you're having a fun party, kid",看你小子玩得挺欢的。,vo_dlg_RollOut_05_James,Level01_Strings,孩子，你的派对看来挺有趣的啊,
"So glad I found you, Boss.",能找到你真是太好了，老大。,vo_dlg_RollOut_06_Toshi,Level01_Strings,老大，很高兴能找到你。,
"And believe me, crazy trains are the least of our problems right now!",相信我，疯狂列车是我们现在最不需要担心的问题！,vo_dlg_RollOut_07_Toshi,Level01_Strings,还有，请相信我，我们眼前最大的麻烦可不是那辆疯狂的火车！,
Old train station - heart of Olbarrow district.,旧列车站——欧巴罗的中心地带。,Desc,Level02_Strings,旧火车站：欧巴罗区的中心。,
Outskirts,郊区,Name,Level02_Strings,郊区,
Searching for Rats,寻找钢鼠成员,Objective1_Description,Level02_Strings,寻找其他同伴,
Search the outskirts,搜索郊外,Objective1_Task1,Level02_Strings,搜寻郊区,
Exit,离开,Objective1_Task2,Level02_Strings,离开,
Your crazy story will have to wait. We need to find the rest of the Gang.,待会再讲你那疯狂的故事吧。我们得先找到剩下的成员。,vo_dlg_JunkBots_01_James,Level02_Strings,待会再跟我们讲你的疯狂故事。我们要先找到其他伙伴。,
"Last time I checked, Randall was fooling around near the old mine. That wacko...",我上次看到他在老矿场附近瞎晃悠。真是个怪人……,vo_dlg_JunkBots_02_James,Level02_Strings,我上次检查的时候，兰德尔就在旧矿坑附近游荡，真是个怪人…,
Look at that!,快看那个！,vo_dlg_JunkBots_03_Toshi,Level02_Strings,嘿，快看那个！,
"OH OH, okay, this thing here? That's way above my paygrade.",哦，哦，好吧，这里居然有这种东西？这可超出我的薪水范畴了。,vo_dlg_JunkBots_04_James,Level02_Strings,这东西吗？已经完全不归我管了！,
"Wait, what's that?",等等，那是什么？,vo_dlg_JunkBots_05_Toshi,Level02_Strings,等等，那是什么？,
The hell...?,搞什么鬼……？,vo_dlg_JunkBots_06_James,Level02_Strings,搞什么…？,
Be careful! They might bite!,当心点！它们可能会咬人！,vo_dlg_JunkBots_07_Toshi,Level02_Strings,小心！它们可能会咬人！,
You ever seen anything like that?,你之前有见过类似的东西吗？,vo_dlg_JunkBots_08_James,Level02_Strings,你看见过像那样的东西吗？,
That's way more advanced than anything I've seen... Seems like there might be plenty more in the City.,那可比我见过的要高级得多……城里似乎还有不少这玩意。,vo_dlg_JunkBots_09_Toshi,Level02_Strings,那东西比我之前看见过的还要先进…看来城里可能还有更多。,
One of many industrial parts of Olbarrow.,欧巴罗众多工业区中的其中一个。,Desc,Level03_Strings,欧巴罗其中的部分工业部件。,
Invasion,入侵,Name,Level03_Strings,入侵,
Invasion,入侵,Objective1_Description,Level03_Strings,入侵,
Power up the mobile radio station,启动移动无线电站,Objective1_Task1,Level03_Strings,启动移动无线电台的电力,
Listen to the broadcast,收听广播,Objective1_Task2,Level03_Strings,收听广播,
A Goon in the Night,夜之杀手机,Objective2_Description,Level03_Strings,夜晚里的暴徒,
Destroy the aggressive robot,消灭入侵的机器,Objective2_Task1,Level03_Strings,破坏混蛋机器人,
Get to the coal mine,前往煤矿场,Objective2_Task2,Level03_Strings,前往煤矿坑,
Randall! Come in Randall!,兰德尔！兰德尔，请回答！,vo_dlg_Invasion_01_Toshi,Level03_Strings,兰德尔！呼叫兰德尔！,
It's just static...,只有杂音……,vo_dlg_Invasion_02_Toshi,Level03_Strings,只有杂音…,
That kid is a real trouble magnet...,那小子可真会惹麻烦……,vo_dlg_Invasion_03_James,Level03_Strings,那孩子还真是个麻烦精…,
Hey Boss! Look at this MRU.,嘿，老大！快看这MRU。,vo_dlg_Invasion_04_Toshi,Level03_Strings,嘿老大！看看这个MRU。,
Huh? This what now?,哈？这是什么？,vo_dlg_Invasion_05_James,Level03_Strings,嗯？这是什么？,
Mobile Radio Unit. Mark 4! They have extremely wide bandwidth. Maybe we could use it to contact Randall!,移动无线电单元。四代！它们拥有超大的带宽。我们也许能用它来联络兰德尔！,vo_dlg_Invasion_06_Toshi,Level03_Strings,移动无线电单元，第四型！它们的频宽相当大。也许可以用来跟兰德尔联络！,
Alright. Get on it.,好吧。那就动手吧。,vo_dlg_Invasion_07_James,Level03_Strings,好吧，那就动手。,
The whole city...,整座城市都……,vo_dlg_Invasion_08_Toshi,Level03_Strings,整个城市…,
"Come on, we need to find the rest...!",饶了我吧，我们还得找到剩下的人……！,vo_dlg_Invasion_09_James,Level03_Strings,快点，我们必须找到其他人…！,
...anyone there? I'm... [static] ...in the mine! Trapped in the... [static] Do you guys hear...,……有人吗？我是……[杂音]……在矿场里！被困在……[杂音]你们听得到……,vo_dlg_Invasion_10_Randall,Level03_Strings,…有人吗。我是…[杂音]…在矿坑里！被困在…[杂音]你们听得到…,
"Hey, that's Randall!",嘿，是兰德尔！,vo_dlg_Invasion_11_Toshi,Level03_Strings,嘿，是兰德尔！,
Shush!,嘘！,vo_dlg_Invasion_12_James,Level03_Strings,安静！,
"...old coal mine... [static] At the bottom of... [static] God, I hate confined spaces!",……老煤矿场……[杂音]……在……[杂音]……的底层。天啊，我讨厌这封闭的空间！,vo_dlg_Invasion_13_Randall,Level03_Strings,…旧煤矿…[杂音]在…的下面[杂音]要命，我讨厌封闭的空间！,
Come on. I know which old mine he's talking about.,走吧，我知道他说的是哪个老矿场。,vo_dlg_Invasion_14_James,Level03_Strings,快！我知道他在哪个旧矿坑里。,
Good heavens!,天啊！,vo_dlg_Invasion_15_Toshi,Level03_Strings,老天爷！,
If this goon wants to fight then let's see how he likes our wheelsaws!,要是这杀手机想打的话，就让它尝尝轮锯的厉害！,vo_dlg_Invasion_16_James,Level03_Strings,如果这个暴徒想来硬的，就给他尝尝轮盘锯的滋味！,
Let's get some!,我们上吧！,vo_dlg_Invasion_17_James,Level03_Strings,给他们点教训！,
We made it!,我们成功了！,vo_dlg_Invasion_18_Toshi,Level03_Strings,成功了！,
The road is clear. Let's go!,挡路的已经解决掉了。我们走吧！,vo_dlg_Invasion_19_James,Level03_Strings,路上安全了。走吧！,
"Abandoned, half-automated coal mine.",废弃的半自动化煤矿场。,Desc,Level04_Strings,废弃的半自动煤矿坑。,
Coal Mine,煤矿场,Name,Level04_Strings,煤矿坑,
To the Rescue,营救,Objective1_Description,Level04_Strings,拯救行动,
Explore the mine to find Randall,搜索矿场里的兰德尔,Objective1_Task1,Level04_Strings,在矿坑里寻找兰德尔,
You Know the Drill,你知道该怎么“钻空子”的,Objective2_Description,Level04_Strings,“钻”心点找啊,
Ride to the bottom,行驶至底部,Objective2_Task1,Level04_Strings,直往地底,
Greet Randall,跟兰德尔打声招呼,Objective2_Task2,Level04_Strings,迎接兰德尔,
Use the drill to leave the mine,利用钻机离开矿场,Objective2_Task3,Level04_Strings,使用钻洞机离开矿坑,
Randy?!,兰弟？！,vo_dlg_CoalMine_01_Toshi,Level04_Strings,是兰迪吗？！,
Be quiet! This place can be swarming with those whatchamacallits!,安静点！这里到处都是那些鬼玩意！,vo_dlg_CoalMine_02_James,Level04_Strings,安静！那些鬼东西会在这一带出没！,
"Actually I think we should call them Junkbots, since, you know, they are... robots... made of... junk...?",讲真，我觉得我们应该称它们为废品机器人，因为，你也知道，它们是用……废品……制成的……机器人？,vo_dlg_CoalMine_03_Toshi,Level04_Strings,我们基本上管它们叫拾荒机器人，毕竟，你看，它们是…垃圾…做成的…机器人？,
Watch out!,当心！,vo_dlg_CoalMine_04_Toshi,Level04_Strings,小心！,
Scram! There has to be an exit down there!,快溜！那下面肯定有出口！,vo_dlg_CoalMine_05_James,Level04_Strings,快跑！底下应该会有出口！,
"What's buzzin', cousin?",什么在嗡嗡响，兄弟？,vo_dlg_CoalMine_06_Randall,Level04_Strings,兄弟，噪音是打哪来的？,
Randall!,兰德尔！,vo_dlg_CoalMine_07_Toshi,Level04_Strings,兰德尔！,
"Thanks for the save, but did you just try to bring this whole mine down on our heads?",谢谢你们来救我，不过你们刚才是不是想把整座矿场都弄塌？,vo_dlg_CoalMine_08_Randall,Level04_Strings,谢谢你们来救我，不过你们刚刚是不是想把整座矿坑弄垮啊？,
Not our idea. It's getting real crazy out there.,我们也不想的。外面发生了不得了的事。,vo_dlg_CoalMine_09_James,Level04_Strings,这可不是我们的主意，外边确实越来越要命了。,
"Well, let's get out of this verdammt tomb. And I might just have an idea how.",总之，我们还是快点离开这鬼地方吧。我刚好有个办法。,vo_dlg_CoalMine_10_Randall,Level04_Strings,嗯，快离开这座烂坟场吧。我刚好有个好法子。,
Cargo trains used to transport coal to Coastal City from this station.,以前是用货运列车来把煤矿运送至海滨市的。,Desc,Level05_Strings,以前人们会用货运火车把煤矿从这里运到海滨城。,
Train Station,列车站,Name,Level05_Strings,火车站,
A Shortcut,捷径,Objective1_Description,Level05_Strings,捷径,
Go to the old train station,前往老列车站,Objective1_Task1,Level05_Strings,前往旧火车站,
Destroy the Goons to unlock the barrier ,消灭杀手机以解除屏障,Objective1_Task2,Level05_Strings,解决暴徒以解除障碍,
Proceed to the exit,前往出口,Objective1_Task3,Level05_Strings,离开,
Is Lisa around?,丽莎在这吗？,vo_dlg_TrainStation_01_Randall,Level05_Strings,丽莎在吗？,
We hoped you might tell us.,我们还希望你能告诉我们答案呢。,vo_dlg_TrainStation_02_James,Level05_Strings,我们还希望你知道呢。,
